route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,ALTON PARK,,3,,FCB814,0
10A,1,10A,AVON,,3,,9AD2AE,0
10C,1,10C,CAMPBELL,,3,,9AD2AE,0
10G,1,10G,GLENWOOD,,3,,9AD2AE,0
13,1,13,ROSSVILLE,,3,,00A54F,0
14,1,14,MOCS EXPRESS,,3,,7236,0
15,1,15,ST. ELMO,,3,,00AEEF,0
16,1,16,NORTHGATE OB,,3,,00A99D,0
19,1,19,CROMWELL ROAD,,3,,0166B3,0
2,1,2,NORTH CHATT,,3,,F05A67,0
21,1,21,GOLDEN GATEWAY,,3,,802990,0
28,1,28,AMNICOLA HWY CHATT STATE,,3,,C5168C,0
3,1,3,ENTERPRISE SOUTH,,3,,FFFFFF,0
33,1,33,DOWNTOWN SHUTTLE,,3,,FFFFFF,0
34,1,34,NORTH SHORE SHUTTLE,,3,,FFFFFF,0
4,1,4,EASTGATE/HAMILTON PL,,3,,EE1D23,0
7,1,7,CHATTANOOGA HOUSING AUTHORITY,,3,,E18E17,0
8,1,8,EASTDALE,,3,,FFFFFF,0
9,1,9,EAST LAKE,,3,,FFFFFF,0