Location_Number,Location_Name,Latitude,Longitude,Address,Zipcode
1,CARTA South,35.037328,-85.30736, 1398 Market St ,37402
2,CARTA Northshore Garage,35.062486,-85.307382, 305 Frazier Ave. ,37406
3,CARTA North,35.05385,-85.31132, 215 Broad St. ,37402
4,Patten Parkway,35.0461992,-85.3094804, 17 Pattern Parkway. ,37402
5,MLK at University,35.0434065,-85.3041698, 535 E MLK Blvd. ,37403
6,UTC Vine Street,35.047907,-85.3031356, 548 Vine St. ,37403
7,W 11th St. at Broad,35.0439257,-85.3124539, 99 W 11th St. ,37403
8,Bethlehem Center,35.005781,-85.31257, 200 W 38th. ,37410
9,Coolidge Park,35.061322,-85.306591, 200 River St. ,37405
10,Station Street,35.035797,-85.305256, Rossville Ave. ,37408
11,100 at South Broad,35.0213032,-85.3213911, Rossville Ave.,37408
12,Incline Railway,35.0095341,-85.328442, 3917 St. Elmo Ave.,37408
13,Hamilton Place Mall,35.0345084,-85.1589831, 2100 Hamilton Place Mall Blvd.,37421